Barcode,Mid
s_008um_00410_00229-1,PC
s_008um_00436_00231-1,PC
s_008um_00432_00239-1,PC
s_008um_00468_00226-1,PC
s_008um_00421_00207-1,PC
s_008um_00448_00218-1,PC
s_008um_00466_00241-1,PC
s_008um_00424_00224-1,PC
s_008um_00484_00229-1,PC
s_008um_00463_00236-1,PC
s_008um_00468_00235-1,PC
s_008um_00449_00235-1,PC
s_008um_00457_00218-1,PC
s_008um_00414_00233-1,PC
s_008um_00406_00206-1,PC
s_008um_00461_00205-1,PC
s_008um_00457_00236-1,PC
s_008um_00414_00213-1,PC
s_008um_00435_00208-1,PC
s_008um_00478_00203-1,PC
s_008um_00451_00230-1,PC
s_008um_00469_00240-1,PC
s_008um_00473_00214-1,PC
s_008um_00472_00239-1,PC
s_008um_00430_00238-1,PC
s_008um_00411_00228-1,PC
s_008um_00440_00222-1,PC
s_008um_00452_00205-1,PC
s_008um_00428_00215-1,PC
s_008um_00441_00206-1,PC
s_008um_00416_00203-1,PC
s_008um_00459_00224-1,PC
s_008um_00431_00215-1,PC
s_008um_00479_00225-1,PC
s_008um_00408_00202-1,PC
s_008um_00420_00218-1,PC
s_008um_00436_00233-1,PC
s_008um_00436_00229-1,PC
s_008um_00439_00223-1,PC
s_008um_00441_00204-1,PC
s_008um_00425_00209-1,PC
s_008um_00475_00228-1,PC
s_008um_00463_00221-1,PC
s_008um_00436_00237-1,PC
s_008um_00437_00215-1,PC
s_008um_00477_00236-1,PC
s_008um_00442_00221-1,PC
s_008um_00468_00214-1,PC
s_008um_00434_00203-1,PC
s_008um_00469_00203-1,PC
s_008um_00427_00203-1,PC
s_008um_00434_00210-1,PC
s_008um_00435_00230-1,PC
s_008um_00410_00219-1,PC
s_008um_00472_00200-1,PC
s_008um_00466_00203-1,PC
s_008um_00461_00209-1,PC
s_008um_00444_00220-1,PC
s_008um_00454_00240-1,PC
s_008um_00484_00228-1,PC
s_008um_00480_00218-1,PC
s_008um_00467_00240-1,PC
s_008um_00479_00213-1,PC
s_008um_00452_00230-1,PC
s_008um_00448_00240-1,PC
s_008um_00431_00232-1,PC
s_008um_00473_00209-1,PC
s_008um_00477_00221-1,PC
s_008um_00446_00233-1,PC
s_008um_00415_00207-1,PC
s_008um_00429_00231-1,PC
s_008um_00479_00206-1,PC
s_008um_00439_00212-1,PC
s_008um_00477_00223-1,PC
s_008um_00430_00207-1,PC
s_008um_00415_00233-1,PC
s_008um_00433_00239-1,PC
s_008um_00442_00222-1,PC
s_008um_00457_00234-1,PC
s_008um_00480_00230-1,PC
s_008um_00433_00222-1,PC
s_008um_00435_00213-1,PC
s_008um_00448_00239-1,PC
s_008um_00469_00219-1,PC
s_008um_00430_00203-1,PC
s_008um_00480_00225-1,PC
s_008um_00438_00204-1,PC
s_008um_00436_00204-1,PC
s_008um_00473_00205-1,PC
s_008um_00461_00224-1,PC
s_008um_00444_00207-1,PC
s_008um_00477_00204-1,PC
s_008um_00473_00204-1,PC
s_008um_00421_00212-1,PC
s_008um_00477_00210-1,PC
s_008um_00483_00225-1,PC
s_008um_00431_00239-1,PC
s_008um_00463_00212-1,PC
s_008um_00436_00216-1,PC
s_008um_00473_00207-1,PC
s_008um_00436_00205-1,PC
s_008um_00423_00215-1,PC
