Barcode,Top
s_008um_00125_00117-1,PC
s_008um_00099_00125-1,PC
s_008um_00086_00147-1,PC
s_008um_00125_00118-1,PC
s_008um_00092_00144-1,PC
s_008um_00120_00134-1,PC
s_008um_00115_00140-1,PC
s_008um_00147_00116-1,PC
s_008um_00118_00136-1,PC
s_008um_00091_00134-1,PC
s_008um_00119_00118-1,PC
s_008um_00090_00123-1,PC
s_008um_00105_00148-1,PC
s_008um_00143_00143-1,PC
s_008um_00110_00119-1,PC
s_008um_00103_00135-1,PC
s_008um_00127_00136-1,PC
s_008um_00130_00148-1,PC
s_008um_00083_00141-1,PC
s_008um_00146_00106-1,PC
s_008um_00091_00151-1,PC
s_008um_00108_00122-1,PC
s_008um_00109_00145-1,PC
s_008um_00147_00123-1,PC
s_008um_00115_00148-1,PC
s_008um_00088_00128-1,PC
s_008um_00076_00122-1,PC
s_008um_00092_00141-1,PC
s_008um_00129_00152-1,PC
s_008um_00141_00107-1,PC
s_008um_00134_00111-1,PC
s_008um_00090_00145-1,PC
s_008um_00132_00119-1,PC
s_008um_00132_00118-1,PC
s_008um_00100_00136-1,PC
s_008um_00119_00119-1,PC
s_008um_00109_00118-1,PC
s_008um_00114_00152-1,PC
s_008um_00120_00115-1,PC
s_008um_00090_00129-1,PC
s_008um_00136_00124-1,PC
s_008um_00115_00156-1,PC
s_008um_00095_00124-1,PC
s_008um_00128_00133-1,PC
s_008um_00088_00125-1,PC
s_008um_00127_00125-1,PC
s_008um_00144_00133-1,PC
s_008um_00111_00135-1,PC
s_008um_00110_00151-1,PC
s_008um_00112_00118-1,PC
s_008um_00110_00154-1,PC
s_008um_00099_00144-1,PC
s_008um_00129_00128-1,PC
s_008um_00132_00115-1,PC
s_008um_00104_00150-1,PC
s_008um_00093_00146-1,PC
s_008um_00128_00134-1,PC
s_008um_00096_00140-1,PC
s_008um_00108_00134-1,PC
s_008um_00152_00126-1,PC
s_008um_00127_00145-1,PC
s_008um_00113_00127-1,PC
s_008um_00087_00139-1,PC
s_008um_00084_00138-1,PC
s_008um_00145_00116-1,PC
s_008um_00105_00154-1,PC
s_008um_00085_00134-1,PC
s_008um_00142_00136-1,PC
s_008um_00118_00133-1,PC
s_008um_00134_00113-1,PC
s_008um_00131_00111-1,PC
s_008um_00110_00148-1,PC
s_008um_00145_00142-1,PC
s_008um_00091_00143-1,PC
s_008um_00091_00127-1,PC
s_008um_00090_00130-1,PC
s_008um_00096_00128-1,PC
s_008um_00101_00137-1,PC
s_008um_00150_00106-1,PC
s_008um_00152_00135-1,PC
s_008um_00100_00148-1,PC
s_008um_00139_00112-1,PC
s_008um_00096_00127-1,PC
s_008um_00127_00142-1,PC
s_008um_00152_00130-1,PC
s_008um_00114_00155-1,PC
s_008um_00146_00140-1,PC
s_008um_00125_00114-1,PC
s_008um_00135_00135-1,PC
s_008um_00092_00125-1,PC
s_008um_00147_00124-1,PC
s_008um_00127_00141-1,PC
s_008um_00138_00131-1,PC
s_008um_00089_00132-1,PC
s_008um_00079_00120-1,PC
s_008um_00086_00129-1,PC
s_008um_00135_00137-1,PC
s_008um_00141_00112-1,PC
s_008um_00130_00150-1,PC
s_008um_00116_00154-1,PC
s_008um_00088_00132-1,PC
s_008um_00150_00135-1,PC
s_008um_00126_00122-1,PC
s_008um_00087_00135-1,PC
s_008um_00098_00153-1,PC
s_008um_00085_00140-1,PC
s_008um_00103_00126-1,PC
s_008um_00110_00133-1,PC
s_008um_00112_00144-1,PC
s_008um_00144_00108-1,PC
s_008um_00133_00134-1,PC
s_008um_00144_00111-1,PC
s_008um_00149_00113-1,PC
s_008um_00116_00152-1,PC
s_008um_00112_00143-1,PC
s_008um_00097_00131-1,PC
s_008um_00129_00147-1,PC
s_008um_00152_00110-1,PC
s_008um_00084_00127-1,PC
s_008um_00126_00150-1,PC
s_008um_00126_00154-1,PC
s_008um_00130_00129-1,PC
s_008um_00143_00134-1,PC
s_008um_00090_00136-1,PC
s_008um_00142_00143-1,PC
s_008um_00108_00147-1,PC
s_008um_00107_00136-1,PC
s_008um_00111_00120-1,PC
s_008um_00118_00155-1,PC
s_008um_00094_00143-1,PC
s_008um_00147_00120-1,PC
s_008um_00123_00123-1,PC
s_008um_00140_00142-1,PC
s_008um_00134_00132-1,PC
s_008um_00111_00154-1,PC
s_008um_00089_00128-1,PC
s_008um_00133_00141-1,PC
s_008um_00141_00139-1,PC
s_008um_00113_00152-1,PC
s_008um_00111_00119-1,PC
s_008um_00119_00126-1,PC
s_008um_00094_00153-1,PC
s_008um_00142_00145-1,PC
s_008um_00108_00143-1,PC
s_008um_00130_00112-1,PC
s_008um_00112_00130-1,PC
s_008um_00123_00144-1,PC
s_008um_00098_00152-1,PC
s_008um_00124_00135-1,PC
s_008um_00106_00133-1,PC
s_008um_00132_00144-1,PC
s_008um_00115_00119-1,PC
s_008um_00117_00138-1,PC
s_008um_00102_00129-1,PC
